TRADEDATE;UNKL;UPRO;ENRU;CHEP;CHMK;CNTLP;CNTL;FEES;PHOR;LIFE;TRMK;TRNFP;TRCN;VRSB;TGKBP;TGKN;TGKA;TTLK;TATN;TATNP;SNGSP;SNGS;SVAV;SELG;CHMF;SBERP;SBER;SFIN;KRKNP;RNFT;AQUA;RUSP;ROLO;RUGR;HYDR;RUAL;AGRO;RTKMP;RTKM;RSTIP;RSTI;ROSN;RKKE;RASP;PLZL;PIKK;PMSBP;PMSB;KZOSP;KZOS;UWGN;UNAC;GMKN;NVTK;NMTP;NLMK;NKHP;NKNCP;NKNC;NSVZ;MTSS;MRKY;MRKP;MRKC;MRKU;MRKS;MRKZ;MRKV;MSRS;MSNG;MSTT;MOEX;CBOM;MTLRP;MTLR;MGTSP;MAGN;MGNT;MVID;LKOH;LSNGP;LSNG;LNTA;LNZLP;LNZL;KBTK;KROT;IRKT;TGKD;KMAZ;KLSB;ISKJ;IRGZ;IRAO;DVEC;DSKY;FESH;DASB;GTRK;GCHE;LSRG;FIVE;SIBN;GAZP;OGKB;VSMO;BELU;BANE;BSPB;VTBR;VZRZP;AFLT;AMEZ;AFKS;APTK;ALNU;ALRS;AKRN;ABRD;YNDX;TCSG;QIWI;POLY
2021-01-04;8260;2.793;0.9075;256.0;2805;13.32;15.75;0.2255;3187;6.965;62.32;141050;;66.4;0.00659;0.00298;0.011448;0.4245;515.8;476.5;42.125;36.11;267.0;46.1;1343.2;245.39;272.0;497.8;15400;242.6;263.0;0.7425;9.098;8.7;0.7834;36.14;847.4;86.6;96.86;2.224;1.7735;436.0;7600;157.3;15948.0;597.9;138.0;144.6;14.0;84.6;148.5;0.403;24314;1250.4;8.12;214.2;342.5;79.48;92.4;196.5;334.9;0.04895;0.256;0.4054;0.1628;0.389;0.05575;0.06935;1.393;2.131;106.7;159.0;6.195;76.7;79.8;1894;56.93;5744.0;725.3;5212.5;153.05;5.44;268.0;4065;18170;152.6;370.5;25.06;0.00363;64.9;10.95;38.21;11.46;5.3485;0.838;137.12;11.79;;41.65;1973.0;890.6;2752.5;322.75;212.71;0.731;21040;1393;1680.0;51.52;0.037925;274.6;72.06;7.37;29.026;13.932;59200.0;98.73;5988;200.5;5185.2;2473.0;766.0;1831.2
2021-01-05;9220;2.829;0.9205;254.5;2840;13.6;16.0;0.22914;3360;7.155;61.92;143800;;66.6;0.00665;0.003;0.01154;0.447;524.2;485.6;42.15;36.75;267.5;46.96;1334.2;247.26;275.2;500.0;15400;251.0;265.0;0.743;9.948;8.85;0.7918;37.245;876.6;89.55;100.38;2.211;1.775;449.35;7640;156.5;15987.5;598.8;138.0;143.9;14.62;86.4;149.9;0.4065;24676;1287.4;8.14;216.86;374.0;79.1;92.6;201.0;337.8;0.04895;0.255;0.4034;0.1616;0.389;0.0556;0.0694;1.391;2.1265;108.1;161.37;6.207;76.4;78.74;1918;57.0;5762.5;720.2;5358.5;153.4;5.42;273.7;4075;18520;153.6;373.0;25.12;0.00366;65.1;11.46;38.11;11.6;5.4745;0.835;136.96;11.69;;42.05;1990.5;905.0;2863.0;323.9;215.32;0.7388;20800;1373;1684.0;51.72;0.038445;278.0;72.74;7.31;29.605;13.75;59600.0;99.58;5980;200.0;5340.4;2454.0;779.0;1853.5
2021-01-06;9520;2.839;0.9425;258.0;2850;13.84;16.05;0.22904;3311;7.195;63.24;142950;;66.8;0.0067;0.00305;0.0117;0.4805;522.0;482.5;41.815;36.745;267.0;46.71;1326.4;246.2;272.93;495.6;15640;258.0;263.5;0.7435;9.8;8.84;0.7896;36.91;913.2;88.45;99.16;2.213;1.7635;453.7;7740;157.36;15792.5;596.6;138.8;142.8;14.46;86.8;148.9;0.4065;25024;1301.2;8.135;215.86;463.0;80.06;91.9;198.5;334.05;0.04895;0.251;0.4002;0.1606;0.387;0.05495;0.07;1.3845;2.1205;108.5;160.91;6.207;76.5;77.51;1910;56.76;5534.0;715.7;5376.5;152.75;5.42;272.1;4055;18850;168.8;385.0;25.42;0.00374;65.0;11.61;38.3;11.58;5.401;0.839;135.54;11.64;;41.7;2006.0;897.4;2816.0;326.7;214.38;0.7429;20680;1370;1702.0;51.97;0.038235;279.0;72.96;7.375;29.279;13.75;59800.0;100.94;5992;201.5;5188.8;2469.8;771.5;1841.9
2021-01-08;9500;2.848;0.934;255.0;2855;14.1;16.15;0.23062;3374;7.155;63.62;145500;;66.8;0.00666;0.00306;0.01182;0.4895;545.4;491.3;42.475;37.705;265.5;46.21;1369.2;252.49;283.64;500.0;15880;263.2;267.0;0.7395;9.494;8.82;0.7941;38.03;898.0;89.05;100.29;2.243;1.7733;478.2;7800;158.56;15396.0;596.0;138.6;143.0;14.48;87.0;146.2;0.405;26544;1379.2;8.17;225.36;491.0;80.2;91.85;199.0;339.4;0.049;0.2505;0.3972;0.1612;0.3875;0.0543;0.07005;1.3885;2.155;108.5;160.33;6.325;77.55;77.5;1992;57.69;5478.0;721.0;5556.5;154.9;5.45;266.4;4035;19030;164.0;379.5;25.3;0.00374;65.1;11.55;38.38;11.56;5.4305;0.848;134.1;11.55;;41.75;2039.0;900.0;2830.0;337.0;225.49;0.7472;20620;1366;1713.5;52.79;0.03894;276.4;73.58;7.39;29.437;13.802;59400.0;104.17;5996;201.0;5254.2;2925.0;778.0;1783.0
2021-01-11;9350;2.844;0.934;251.0;2815;14.04;16.15;0.23046;3401;7.07;61.96;144000;;68.2;0.0071;0.00315;0.01201;0.4825;539.8;489.0;42.385;37.605;266.5;46.0;1351.2;256.92;289.49;498.0;15940;290.2;263.5;0.741;9.14;8.742;0.8255;39.205;892.8;88.3;99.58;2.225;1.7661;473.25;7800;158.0;15489.0;595.2;153.0;153.1;15.57;86.8;144.0;0.4035;26290;1405.4;8.265;219.36;474.0;79.92;92.2;200.0;337.55;0.04925;0.2501;0.389;0.1604;0.391;0.05445;0.0698;1.3765;2.163;109.2;159.49;6.381;78.7;79.21;2032;57.915;5484.5;715.0;5599.0;159.75;5.39;266.5;4080;19120;159.0;376.5;25.14;0.00384;64.8;11.49;38.03;11.6;5.4735;0.856;133.6;11.65;;41.95;2075.0;913.8;2815.5;334.3;227.6;0.788;20580;1382;1705.0;53.11;0.03989;279.6;74.08;7.32;30.235;13.76;58800.0;105.85;6004;200.0;5214.2;2970.0;771.5;1761.0
2021-01-12;9000;2.9;0.933;247.0;2865;14.18;16.15;0.22584;3345;7.01;62.2;145100;;68.6;0.00697;0.00315;0.01193;0.475;546.2;494.7;42.21;37.635;264.0;45.96;1332.8;257.69;289.99;496.4;15920;300.0;262.0;0.741;8.778;8.748;0.8188;38.53;884.6;88.45;99.17;2.232;1.7458;474.4;7800;156.78;15419.5;594.2;152.0;152.1;21.79;92.0;141.9;0.4095;25934;1401.0;8.455;218.38;415.0;80.6;93.6;200.0;334.2;0.04885;0.2506;0.3932;0.1604;0.395;0.05455;0.06925;1.383;2.153;114.3;158.5;6.353;77.45;78.2;2026;57.81;5450.5;717.5;5721.0;157.5;5.39;264.5;4055;19030;157.2;376.0;25.1;0.0038;64.9;11.48;37.95;11.6;5.495;0.856;132.18;11.9;;41.95;2088.5;900.6;2774.5;334.3;228.69;0.7961;20560;1372;1721.0;55.56;0.040175;278.0;74.18;7.275;31.179;13.752;59200.0;107.46;5970;200.0;5121.8;2912.2;767.5;1732.5
2021-01-13;8640;2.896;0.9335;246.5;2870;14.46;16.45;0.2219;3385;6.945;61.78;146000;;69.2;0.00698;0.00315;0.0116;0.4755;546.2;503.5;42.295;37.285;266.0;46.19;1315.6;252.93;283.78;498.8;15820;289.2;257.5;0.7415;9.048;8.85;0.8032;37.83;882.8;87.3;99.0;2.21;1.7331;485.95;7680;155.0;15426.0;589.3;153.0;153.0;27.0;88.4;140.0;0.446;25976;1425.6;8.34;214.68;392.0;80.14;92.6;209.5;331.9;0.0489;0.248;0.386;0.157;0.392;0.055;0.0686;1.372;2.1445;112.95;159.5;6.351;79.8;84.05;2030;54.7;5410.0;710.1;5755.0;157.2;5.37;264.9;4060;18960;156.8;368.5;26.2;0.003795;64.7;11.32;37.32;11.64;5.417;0.845;131.14;11.86;;41.95;2056.0;903.4;2772.5;333.75;226.8;0.7616;20680;1363;1715.0;56.26;0.039735;277.8;73.5;7.16;30.794;13.63;59000.0;106.13;6014;202.0;5079.8;2882.0;776.0;1734.3
2021-01-14;9940;2.949;0.9405;246.5;2940;14.5;16.45;0.22266;3358;6.94;61.86;149250;;70.4;0.00696;0.00313;0.01178;0.471;551.6;513.4;42.035;37.52;267.0;45.86;1367.6;255.35;284.79;496.6;15840;266.6;259.0;0.7405;9.21;8.768;0.8054;38.145;882.2;88.5;98.94;2.2;1.722;505.0;7650;158.0;15080.0;591.2;151.8;151.9;23.15;87.8;139.0;0.44;26432;1438.0;8.505;222.82;392.0;79.98;92.0;205.0;337.35;0.0492;0.2484;0.386;0.1578;0.395;0.0563;0.06865;1.3645;2.1685;112.5;159.76;6.388;78.35;81.75;2024;56.945;5375.5;715.7;5937.0;159.05;5.75;265.5;4075;18900;157.0;374.0;26.5;0.00389;64.7;11.27;37.46;11.76;5.44;0.838;131.44;11.84;;41.8;2074.0;908.6;2765.5;342.1;228.86;0.7704;21140;1368;1728.0;56.79;0.039875;276.0;73.16;7.475;30.961;13.536;59200.0;105.42;5960;200.0;5077.4;3008.2;780.0;1707.7
2021-01-15;9700;2.915;0.935;247.5;2925;15.32;16.9;0.2208;3375;6.995;61.6;148300;;69.6;0.00698;0.00312;0.011746;0.474;535.2;500.3;41.915;36.495;265.0;45.21;1344.8;250.34;276.9;499.4;15800;258.0;256.5;0.742;9.22;8.67;0.7969;37.535;882.4;87.95;98.93;2.191;1.7044;512.2;7650;154.48;14840.0;597.9;150.2;151.5;20.14;87.2;140.0;0.4455;25796;1375.8;8.435;219.52;398.5;79.9;91.0;204.0;332.85;0.04935;0.2475;0.3826;0.1586;0.397;0.0571;0.0695;1.41;2.18;112.2;159.9;6.373;78.05;80.2;2006;56.25;5210.0;740.3;5888.5;158.7;7.28;264.6;4020;18300;171.8;373.0;26.1;0.00381;64.6;11.27;38.4;11.76;5.4025;0.838;130.72;11.73;;41.65;2071.0;902.8;2708.0;341.35;226.5;0.7632;21380;1355;1718.5;55.92;0.03956;276.2;72.3;7.275;30.955;13.51;59200.0;104.11;5952;199.5;4998.0;3250.0;761.5;1666.1
2021-01-18;11870;2.969;0.925;246.5;2910;17.6;19.15;0.22152;3476;7.11;61.88;148600;;69.6;0.00704;0.00316;0.011632;0.4755;532.9;496.4;42.28;36.205;266.5;44.99;1347.8;253.8;279.79;498.6;15780;260.2;258.5;0.7455;9.17;9.074;0.8076;37.53;890.4;88.35;99.9;2.181;1.724;516.5;7550;155.8;14840.5;611.2;151.2;152.1;20.34;86.5;145.0;0.4425;25874;1390.4;8.39;219.06;399.0;79.5;91.8;204.5;333.0;0.04925;0.2464;0.3824;0.1572;0.397;0.05965;0.07;1.4865;2.207;112.95;160.16;6.398;77.55;80.34;2020;56.86;5219.0;719.0;5873.0;156.7;6.62;260.9;4045;18620;164.2;407.0;26.18;0.003795;64.9;11.56;38.88;11.9;5.407;0.843;132.92;11.69;;41.0;2092.0;911.0;2725.5;339.8;226.88;0.7691;20980;1370;1717.5;55.9;0.03916;278.8;72.78;7.32;31.018;13.76;59200.0;103.06;5982;199.5;5043.6;3449.8;773.0;1689.3
